City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,hasaki,35.7333,140.8333,57.6,87,99,7.63,JP,1635354611
85,esmeraldas,-19.7625,-44.3139,83.26,49,88,7.67,BR,1635354611
86,burns lake,54.2331,-125.7533,36.88,86,57,6.55,CA,1635354611
87,neryungri,56.6709,124.6491,18.19,92,87,3.51,RU,1635354611
88,kapaa,22.0752,-159.319,71.58,100,1,5.75,US,1635354497
89,east london,-33.0153,27.9116,66.99,82,100,27.16,ZA,1635354467
90,ravar,31.2656,56.8055,60.67,27,0,5.39,IR,1635354612
91,chuy,-33.6971,-53.4616,84.38,46,0,5.21,UY,1635354612
92,tshikapa,-6.4167,20.8,76.19,76,86,2.71,CD,1635354612
93,pemba,-12.974,40.5178,78.98,78,14,10.94,MZ,1635354613
94,talnakh,69.4865,88.3972,-0.67,97,100,13.42,RU,1635354613
95,fort saint james,54.4333,-124.25,40.3,75,100,8.14,CA,1635354515
96,rio grande,-32.035,-52.0986,93.31,63,0,8.48,BR,1635354389
97,aquiraz,-3.9014,-38.3911,88.21,55,29,15.75,BR,1635354613
98,wilson,36.1501,-86.2833,64.38,57,1,8.05,US,1635354614
99,tavda,58.0425,65.2726,32.7,97,100,7.61,RU,1635354614
100,bengkulu,-3.8004,102.2655,76.12,87,100,2.98,ID,1635354499
101,thinadhoo,0.5333,72.9333,82.35,76,80,14.03,MV,1635354614
102,souillac,-20.5167,57.5167,74.35,78,20,5.75,MU,1635354476
103,hermanus,-34.4187,19.2345,71.8,86,100,8.37,ZA,1635354614
104,grand gaube,-20.0064,57.6608,74.37,67,0,3,MU,1635354615
105,patitirion,39.15,23.8667,60.28,65,63,14.97,GR,1635354615
106,bethel,41.3712,-73.414,59.11,77,90,1.01,US,1635354485
107,georgetown,5.4112,100.3354,82.89,83,20,2.3,MY,1635354449
108,northam,51.0333,-4.2167,60.1,85,89,22.06,GB,1635354615
109,fairbanks,64.8378,-147.7164,26.56,91,90,0,US,1635354616
110,cape town,-33.9258,18.4232,71.11,63,100,2.15,ZA,1635354616
111,bukama,-9.2,25.85,79.68,56,52,2.24,CD,1635354616
112,coruripe,-10.1256,-36.1756,83.14,61,7,12.95,BR,1635354617
113,varadero,23.1536,-81.2514,88.56,68,72,3.69,CU,1635354617
114,kupang,-10.1667,123.5833,80.2,79,42,6.62,ID,1635354617
115,kostomuksha,64.571,30.5767,30.49,97,100,4.99,RU,1635354617
116,prince rupert,54.3161,-130.3201,45.57,82,100,14.36,CA,1635354618
117,saskylakh,71.9167,114.0833,-12.64,100,100,2.3,RU,1635354551
118,kualakapuas,-3.0091,114.3876,77.16,93,96,1.72,ID,1635354618
119,dingle,10.9995,122.6711,75.63,94,100,5.57,PH,1635354618
120,butaritari,3.0707,172.7902,82.69,68,100,12.53,KI,1635354557
121,biak,-0.9131,122.8766,77.43,84,23,0.58,ID,1635354555
122,necochea,-38.5473,-58.7368,86.04,42,6,6.06,AR,1635354619
123,victoria,22.2855,114.1577,78.85,81,92,1.01,HK,1635354619
124,ossora,59.2353,163.0719,19.4,93,94,4.32,RU,1635354619
125,kasongo,-4.45,26.6667,71.04,83,28,3.06,CD,1635354619
126,yellowknife,62.456,-114.3525,39.42,100,90,3.44,CA,1635354620
127,coquimbo,-29.9533,-71.3436,62.67,73,51,7.96,CL,1635354530
128,labrea,-7.2586,-64.7981,89.53,57,97,2.73,BR,1635354620
129,gizo,-8.103,156.8419,82.69,78,23,9.19,SB,1635354620
130,san gabriel,34.0961,-118.1058,76.64,40,1,3,US,1635354584
131,half moon bay,37.4636,-122.4286,65.82,81,1,4.61,US,1635354620
132,pisco,-13.7,-76.2167,68.05,73,0,10.36,PE,1635354621
133,qaanaaq,77.484,-69.3632,20.93,94,100,10.38,GL,1635354514
134,anloga,5.7947,0.8973,82.22,73,51,10.78,GH,1635354621
135,rancho palos verdes,33.7445,-118.387,75.94,57,1,1.99,US,1635354423
136,katsuura,35.1333,140.3,61.2,91,100,7.38,JP,1635354621
